;=========================================================================================================================;
;      ___                       _   __                   ___                              _         __   _               ;
;     /   |  ___   _____ ____   / | / /____ _ _   __     /   |   _____ _____ ____   _____ (_)____ _ / /_ (_)____   ____   ;
;    / /| | / _ \ / ___// __ \ /  |/ // __ `/| | / /    / /| |  / ___// ___// __ \ / ___// // __ `// __// // __ \ / __ \  ;
;   / ___ |/  __// /   / /_/ // /|  // /_/ / | |/ /    / ___ | (__  )(__  )/ /_/ // /__ / // /_/ // /_ / // /_/ // / / /  ;
;  /_/  |_|\___//_/    \____//_/ |_/ \__,_/  |___/    /_/  |_|/____//____/ \____/ \___//_/ \__,_/ \__//_/ \____//_/ /_/   ;
;     ______ __        __            __   _   __                 ______                                 __                ;
;    / ____// /____   / /_   ____ _ / /  / | / /____ _ _   __   / ____/___   ____   ___   _____ ____ _ / /_ ____   _____  ;
;   / / __ / // __ \ / __ \ / __ `// /  /  |/ // __ `/| | / /  / / __ / _ \ / __ \ / _ \ / ___// __ `// __// __ \ / ___/  ;
;  / /_/ // // /_/ // /_/ // /_/ // /  / /|  // /_/ / | |/ /  / /_/ //  __// / / //  __// /   / /_/ // /_ / /_/ // /      ;
;  \____//_/ \____//_.___/ \__,_//_/  /_/ |_/ \__,_/  |___/   \____/ \___//_/ /_/ \___//_/    \__,_/ \__/ \____//_/       ;
;                                                                                                                         ;
;=========================================================================================================================;
;                                                                                                                         ;
;  ALL RIGHTS RESERVED © AeroNav Association. NAV-DATA © AEROSOFT. FILES MUST NOT BE DISTRIBUTED TO NON-VATSIM MEMBERS!   ;
;                                                                                                                         ;
;=========================================================================================================================;
;  The Global Nav Generator (GNG) and all it sub-modules where created by the AeroNav Association.                        ;
;  All files generated by the GNG belong to the AeroNav Association and must only be hosted on the AeroNav/GNG Homepage.  ;
;  The final responsibility for the content of this file lies with the publishing vACC itself.                            ;
;                                                                                                                         ;
;  This file is protected by copyright laws. You may install it on your computer for your personal, non-commercial use    ;
;  only. The data must not be copied, photocopied, translated, reverse engineered, decompiled or reduced to any           ;
;  electronic medium or machine legible form, neither completely nor in part.                                             ;
;=========================================================================================================================;
;  AIRAC 2413/1  ++  File-Publisher: Khaleej vACC - Bahrain FIR - OBBB                                                    ;
;=========================================================================================================================;
;Aerosoft NavDataPro database for VATSIM
;
;NavDataPro Cycle : 2413
;Revision         : 1
;Valid (from/to)  : 26/DEC/2024 - 22/JAN/2025
;
;These navdata are intended for flight simulation use only
;and will vary from current aeronautical navdata!
;Do not use for real navigation!
;
;These navdata are protected by copyright laws.
;You may install one copy of the navdata on one computer
;for your personal, non-commercial use.
;The navdata must not be copied, photocopied, translated,
;reverse engineered, decompiled or reduced to any
;electronic medium or machine legible form, neither
;completely nor in part, without the previous written
;permission of AEROSOFT GmbH.
;
;(c) Copyright Aerosoft GmbH,
;    alle Rechte vorbehalten, all rights reserved.
;
;------------------------------------------------------
;AIRAC Cycle : 2413 (26/DEC/2024 - 22/JAN/2025) - Rev.1
;------------------------------------------------------05AWE	43.595222	142.399147	14	V7	B	AWE	43.667264	142.456847	05000	Y	ASIBE	43.451106	142.283592	07000	Y
10TBE	43.718311	144.173667	14	V3	B	TBE	43.884908	144.166183	05000	Y	TCE	43.036050	144.200756	07000	Y
12HK	-42.842986	171.179747	14	J203	B	20CH	-43.318889	172.134528	10000	Y	HK	-42.729339	170.956219	05800	Y
12HPE	39.260378	141.003756	14	V36	B	HPE	39.433358	141.133500	07000	Y	RUNID	39.002708	140.810583	09000	Y
15DME	37.718553	139.205519	14	V15	B	GTC	37.958253	139.115567	11000	Y	KALON	36.489942	139.662900	11000	Y
15HPE	39.680761	141.181769	14	V33	B	MIS	40.703822	141.381108	10000	Y	HPE	39.433358	141.133500	06000	Y
15NV	-46.168003	168.398417	14	W104	B	NV	-46.411561	168.317608	02000	Y	35NV	-45.843156	168.505061	04400	Y
15YTE	38.604664	140.518642	14	V36	B	LAVOT	38.859633	140.704317	11000	Y	YTE	38.388622	140.357953	07000	Y
20CH	-43.318889	172.134528	14	J203	B	CH	-43.504194	172.514694	10000	Y	12HK	-42.842986	171.179747	10000	Y
20TBE	43.827436	143.712386	14	V7	B	TSUKA	43.832811	143.756444	05000	Y	AWE	43.667264	142.456847	10000	Y
21MRE	40.390822	140.653178	14	V13	B	YACHI	40.490400	140.668047	07000	Y	HINAI	40.291686	140.638317	09000	Y
26KIN	-4.308333	24.321667	14	ATS14	B	DITRO	-4.625000	23.960000	04000	Y	KI452	-3.417667	25.352814	04000	Y
30AA	-37.440381	175.121836	14	W115	B	AA	-37.004528	174.813722	03000	Y	90AA	-38.309319	175.749114	04700	Y
30TBE	43.457053	143.809572	14	V4	B	GINGA	43.627425	143.953036	05000	Y	RUGMO	43.076011	143.496969	06000	Y
30VTK	1.909361	104.029917	14	G219	B	VTK	1.415378	104.022269	05000	Y	NIVAM	2.613900	104.041100	10500	Y
32MRE	40.208550	140.626058	14	V13	B	HINAI	40.291686	140.638317	10000	Y	56MRE	39.810883	140.567561	15000	Y
35NV	-45.843156	168.505061	14	W104	B	15NV	-46.168003	168.398417	04400	Y	ATHOL	-45.599722	168.585000	07000	Y
40GTC	38.472053	138.574964	14	R211	B	BASIN	38.121000	138.942033	05000	Y	CAYAH	38.675017	138.355639	09000	Y
45QN	-44.633086	169.713589	14	W291	B	KALDI	-44.711806	169.507750	09800	Y	MELOK	-44.594167	169.815833	09800	Y
55NV	-45.784792	169.278606	14	W118	B	KELSO	-45.842222	169.192222	08800	Y	DABIN	-43.979944	171.870444	08800	Y
56MRE	39.810883	140.567561	14	V13	B	32MRE	40.208550	140.626058	15000	Y	WAPPA	39.701131	140.551550	20000	Y
62KGI	0.325000	22.625000	14	ATS1	B	IVDIG	0.306047	22.371822	03200	Y	KGI	0.495869	25.317700	03100	Y
62KGI	0.325000	22.625000	14	UR984	H	EDLAM	0.096667	22.855000	24500	Y	GUROT	0.643992	22.306839	24500	Y
75DAC	22.857708	91.285347	14	G463	B	ADMIL	23.180833	90.990556	07500	Y	ONEKA	22.580000	91.537222	11500	Y
80HKC	30.453603	130.015006	14	A582	B	ENPAD	30.577003	130.070594	06000	Y	OLSER	30.343472	129.965472	12000	Y
90AA	-38.309319	175.749114	14	W115	B	30AA	-37.440381	175.121836	04700	Y	AP	-38.743214	176.074286	04700	Y
A400X	-6.106111	11.322500	14	UT398	H	LIKAD	-5.123333	11.702778	24500	Y	NIDUS	-7.000000	11.000000	24500	Y
AA	68.723147	-52.784825	14	UW22	H					N	NYGAR	68.232222	-52.311389	19500	Y
AA	68.723147	-52.784825	14	UW30	H	KUKAK	68.199731	-53.067622	19500	Y					N
